id,signal_id,ticker,direction,quantity,price,total_value,currency,paper,status,opened_at,closed_at,pnl,notes
32,32,UNH,BUY,3.7133,394.720001220703,1465.71378053284,GBP,1,VOID,"2026-05-13 13:57:08",,,
33,33,COST,BUY,0.0705,1039.38500976563,73.2766431884766,GBP,1,VOID,"2026-05-13 13:57:09",,,
34,34,AAPL,BUY,1.2551,295.929992675781,371.421733807373,GBP,1,VOID,"2026-05-13 14:14:14",,,
35,35,MSFT,BUY,0.7425,404.049987792969,300.007115936279,GBP,1,VOID,"2026-05-13 14:14:14",,,
36,36,NVDA,BUY,2.2303,224.184005737305,499.997587995911,GBP,1,VOID,"2026-05-13 14:14:15",,,
37,37,LLY,BUY,0.4423,1001.35498046875,442.899307861328,GBP,1,VOID,"2026-05-13 14:14:17",,,
38,38,JPM,BUY,1.6572,301.709991455078,499.993797839355,GBP,1,VOID,"2026-05-13 14:14:17",,,
39,39,UNH,BUY,1.257,397.779998779297,500.009458465576,GBP,1,VOID,"2026-05-13 14:14:19",,,
40,40,COST,BUY,0.4829,1035.47998046875,500.033282568359,GBP,1,VOID,"2026-05-13 14:14:20",,,
41,41,HD,BUY,1.6418,304.545013427734,500.002003045654,GBP,1,VOID,"2026-05-13 14:14:21",,,
42,42,BAC,BUY,9.8981,50.5149993896484,500.002515458679,GBP,1,VOID,"2026-05-13 14:14:22",,,
43,43,KO,BUY,6.2066,80.5599975585938,500.003680847168,GBP,1,VOID,"2026-05-13 14:14:22",,,
44,44,CRM,BUY,2.9568,169.100006103516,499.994898046875,GBP,1,VOID,"2026-05-13 14:14:24",,,
45,45,AMD,BUY,0.688,436.015014648438,299.978330078125,GBP,1,VOID,"2026-05-13 14:14:25",,,
46,46,TMO,BUY,0.8209,452.489990234375,371.449032983398,GBP,1,VOID,"2026-05-13 14:14:27",,,
47,47,ACN,BUY,3.0675,162.998992919922,499.99941078186,GBP,1,VOID,"2026-05-13 14:14:27",,,
48,48,LIN,BUY,0.8649,512.02001953125,442.846114892578,GBP,1,VOID,"2026-05-13 14:14:28",,,
49,49,MCD,BUY,1.8102,276.209991455078,499.995326531982,GBP,1,VOID,"2026-05-13 14:14:29",,,
50,50,IBM,BUY,2.3362,214.020004272461,499.993533981323,GBP,1,VOID,"2026-05-13 14:14:32",,,
51,51,ISRG,BUY,1.1608,430.75,500.0146,GBP,1,VOID,"2026-05-13 14:14:36",,,
52,52,AMGN,BUY,0.902,332.609985351563,300.014206787109,GBP,1,VOID,"2026-05-13 14:14:38",,,
53,53,DHR,BUY,3.0261,165.229995727539,500.002490071106,GBP,1,VOID,"2026-05-13 14:14:39",,,
56,56,LLY,BUY,0.3023,992.289978027344,299.969260357666,GBP,1,CLOSED,"2026-05-18 13:45:07","2026-06-02 13:45:04",22.8566956115723,
57,57,XOM,BUY,1.919,156.330001831055,299.997273513794,GBP,1,CLOSED,"2026-05-18 13:45:09","2026-05-22 17:00:07",-4.33692945861816,
58,58,HD,BUY,1.663,300.670013427734,500.014232330322,GBP,1,CLOSED,"2026-05-18 13:45:15","2026-06-26 13:45:03",80.9049398498535,
59,59,TMO,BUY,1.1401,438.570007324219,500.013665350342,GBP,1,CLOSED,"2026-05-18 13:45:22","2026-06-05 19:30:10",36.1924689331055,
60,60,LIN,BUY,0.5897,508.747100830078,300.008165359497,GBP,1,OPEN,"2026-05-18 13:45:23",,,
61,61,GS,BUY,0.3147,953.156799316406,299.958444744873,GBP,1,CLOSED,"2026-05-18 13:45:29","2026-06-09 19:30:05",23.7702798156739,
62,62,ISRG,BUY,0.8673,428.269989013672,371.438561471558,GBP,1,CLOSED,"2026-05-18 13:45:30","2026-05-27 20:45:04",-8.43015705871579,
63,63,BKNG,BUY,2.3857,155.690002441406,371.429638824463,GBP,1,CLOSED,"2026-05-18 13:45:31","2026-06-10 19:30:08",12.17898830719,
64,64,RTX,BUY,2.1581,172.110000610352,371.4305923172,GBP,1,CLOSED,"2026-05-18 13:45:32","2026-06-22 19:30:09",22.2068345108032,
65,65,DHR,BUY,3.065,163.130004882813,499.99346496582,GBP,1,CLOSED,"2026-05-18 13:45:34","2026-06-09 19:30:06",78.9850163269043,
66,66,BLK,BUY,0.2767,1084.19995117188,299.998126489258,GBP,1,CLOSED,"2026-05-18 13:45:35","2026-05-20 13:45:14",-14.5101317871093,
67,67,T,BUY,20.7082,24.1450004577637,499.999498479462,GBP,1,CLOSED,"2026-05-18 13:45:36","2026-06-03 19:30:07",-11.3895336986541,
68,68,LOW,BUY,1.69,219.779998779297,371.428197937012,GBP,1,CLOSED,"2026-05-18 13:45:37","2026-06-01 19:30:09",-19.189942779541,
69,69,UNP,BUY,1.3662,271.859985351563,371.415111987305,GBP,1,CLOSED,"2026-05-18 13:45:38","2026-05-29 13:45:07",-11.0661866455079,
70,70,BA,BUY,1.694,219.259994506836,371.42643069458,GBP,1,CLOSED,"2026-05-18 13:45:42","2026-06-02 19:30:11",-4.7093179321289,
71,71,ETN,BUY,1.2982,385.144989013672,499.995224737549,GBP,1,CLOSED,"2026-05-18 13:45:43","2026-06-05 13:45:05",18.8303973388672,
