id,ticker,signal_type,direction,confidence,price_at_signal,regime,notes,created_at
27,AAPL,PAPER_MOMENTUM,BUY,70.0,295.654998779297,BULL,"[PAPER SCANNER] RSI (73.7) | MACD above signal | Above MA50 (263.74) | Above MA200 (257.32) | Low volume (0.9x avg) | Regime=BULL | VolAdj=+0.0 | SectorAdj=+10.0 | Raw=60.0 → Final=70.0","2026-05-13 13:57:01"
28,MSFT,PAPER_MEAN_REVERSION,BUY,65.0,402.5,BULL,"[PAPER SCANNER] Near lower BB — oversold (0.12) | RSI neutral (49.0) | Below MA20 by 2.5% | Regime=BULL | VolAdj=+0.0 | SectorAdj=+10.0 | Raw=55.0 → Final=65.0","2026-05-13 13:57:02"
29,NVDA,PAPER_MOMENTUM,BUY,90.0,223.464996337891,BULL,"[PAPER SCANNER] RSI (69.3) | MACD above signal | Above MA50 (190.26) | Above MA200 (185.18) | Normal volume (1.0x avg) | Regime=BULL | VolAdj=+0.0 | SectorAdj=+10.0 | Raw=70.0 → Final=90.0","2026-05-13 13:57:03"
30,LLY,PAPER_MOMENTUM,BUY,75.0,1005.82012939453,BULL,"[PAPER SCANNER] RSI neutral (59.6) | MACD above signal | Above MA50 (939.52) | Above MA200 (916.41) | Low volume (0.8x avg) | Regime=BULL | VolAdj=+0.0 | SectorAdj=+0.0 | Raw=65.0 → Final=75.0","2026-05-13 13:57:06"
31,JPM,PAPER_MOMENTUM,BUY,85.0,301.869995117188,BULL,"[PAPER SCANNER] RSI bullish zone (48.5) | MACD below signal | Above MA50 (299.50) | Above MA200 (302.85) | Normal volume (1.2x avg) | Regime=BULL | VolAdj=+5.0 | SectorAdj=+0.0 | Raw=70.0 → Final=85.0","2026-05-13 13:57:06"
32,UNH,PAPER_MOMENTUM,BUY,80.0,394.720001220703,BULL,"[PAPER SCANNER] RSI overbought (84.6) | MACD above signal | Above MA50 (313.62) | Above MA200 (315.36) | Normal volume (1.1x avg) | Regime=BULL | VolAdj=+5.0 | SectorAdj=+0.0 | Raw=65.0 → Final=80.0","2026-05-13 13:57:08"
33,COST,PAPER_MOMENTUM,BUY,100.0,1039.38500976563,BULL,"[PAPER SCANNER] RSI neutral (57.6) | MACD bullish crossover | Above MA50 (997.71) | Above MA200 (950.25) | Normal volume (1.2x avg) | Regime=BULL | VolAdj=+5.0 | SectorAdj=+0.0 | Raw=85.0 → Final=100.0","2026-05-13 13:57:09"
34,AAPL,PAPER_MOMENTUM,BUY,70.0,295.929992675781,BULL,"[PAPER SCANNER] RSI (73.7) | MACD above signal | Above MA50 (263.74) | Above MA200 (257.32) | Low volume (0.9x avg) | Regime=BULL | VolAdj=+0.0 | SectorAdj=+10.0 | Raw=60.0 → Final=70.0","2026-05-13 14:14:14"
35,MSFT,PAPER_MEAN_REVERSION,BUY,65.0,404.049987792969,BULL,"[PAPER SCANNER] Near lower BB — oversold (0.12) | RSI neutral (49.0) | Below MA20 by 2.5% | Regime=BULL | VolAdj=+0.0 | SectorAdj=+10.0 | Raw=55.0 → Final=65.0","2026-05-13 14:14:14"
36,NVDA,PAPER_MOMENTUM,BUY,90.0,224.184005737305,BULL,"[PAPER SCANNER] RSI (69.3) | MACD above signal | Above MA50 (190.26) | Above MA200 (185.18) | Normal volume (1.0x avg) | Regime=BULL | VolAdj=+0.0 | SectorAdj=+10.0 | Raw=70.0 → Final=90.0","2026-05-13 14:14:15"
37,LLY,PAPER_MOMENTUM,BUY,75.0,1001.35498046875,BULL,"[PAPER SCANNER] RSI neutral (59.6) | MACD above signal | Above MA50 (939.52) | Above MA200 (916.41) | Low volume (0.8x avg) | Regime=BULL | VolAdj=+0.0 | SectorAdj=+0.0 | Raw=65.0 → Final=75.0","2026-05-13 14:14:17"
38,JPM,PAPER_MOMENTUM,BUY,85.0,301.709991455078,BULL,"[PAPER SCANNER] RSI bullish zone (48.5) | MACD below signal | Above MA50 (299.50) | Above MA200 (302.85) | Normal volume (1.2x avg) | Regime=BULL | VolAdj=+5.0 | SectorAdj=+0.0 | Raw=70.0 → Final=85.0","2026-05-13 14:14:17"
39,UNH,PAPER_MOMENTUM,BUY,80.0,397.779998779297,BULL,"[PAPER SCANNER] RSI overbought (84.6) | MACD above signal | Above MA50 (313.62) | Above MA200 (315.36) | Normal volume (1.1x avg) | Regime=BULL | VolAdj=+5.0 | SectorAdj=+0.0 | Raw=65.0 → Final=80.0","2026-05-13 14:14:19"
40,COST,PAPER_MOMENTUM,BUY,100.0,1035.47998046875,BULL,"[PAPER SCANNER] RSI neutral (57.6) | MACD bullish crossover | Above MA50 (997.71) | Above MA200 (950.25) | Normal volume (1.2x avg) | Regime=BULL | VolAdj=+5.0 | SectorAdj=+0.0 | Raw=85.0 → Final=100.0","2026-05-13 14:14:20"
